                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     71,                0.59698,                 1.0429,                 1.0395,                0.94832,                0.95475,                0.98188,                0.86968,                0.54964,                0.60972,                0.96168,              7.675e-05,              7.675e-05,              7.675e-05
                     72,                0.58353,                 1.0409,                 1.0364,                0.96776,                0.94397,                0.98038,                0.86892,                0.53325,                 0.5921,                0.95186,             7.4275e-05,             7.4275e-05,             7.4275e-05
                     73,                0.59736,                 1.0288,                 1.0376,                 0.9593,                0.95557,                0.98445,                 0.8695,                0.54936,                 0.5861,                0.96216,               7.18e-05,               7.18e-05,               7.18e-05
                     74,                0.58681,                  1.007,                 1.0433,                0.94955,                0.96033,                0.98367,                 0.8711,                0.54951,                0.59065,                0.96129,             6.9325e-05,             6.9325e-05,             6.9325e-05
                     75,                0.58009,                 1.0048,                 1.0406,                0.96449,                0.94541,                0.98073,                 0.8682,                0.54356,                0.59261,                0.95798,              6.685e-05,              6.685e-05,              6.685e-05
                     76,                 0.5694,                0.98976,                 1.0393,                0.94935,                0.96006,                0.98005,                0.87103,                0.53482,                0.60029,                 0.9546,             6.4375e-05,             6.4375e-05,             6.4375e-05
                     77,                0.57992,                0.98506,                 1.0278,                0.95183,                  0.948,                0.98151,                0.86868,                0.54203,                0.59459,                0.96026,               6.19e-05,               6.19e-05,               6.19e-05
                     78,                0.59134,                 1.0083,                  1.045,                0.95635,                  0.943,                 0.9808,                0.87293,                0.53245,                0.58476,                0.95236,             5.9425e-05,             5.9425e-05,             5.9425e-05
                     79,                0.58285,                0.98149,                 1.0373,                0.95632,                0.94495,                0.98174,                0.86746,                0.54139,                0.59387,                0.96064,              5.695e-05,              5.695e-05,              5.695e-05
                     80,                0.58539,                0.97628,                 1.0355,                 0.9538,                0.95861,                0.98132,                0.86706,                0.55213,                0.59131,                0.96398,             5.4475e-05,             5.4475e-05,             5.4475e-05
                     81,                0.56645,                0.96686,                 1.0329,                0.96598,                0.95583,                0.98091,                0.86913,                0.53838,                0.58499,                0.95819,                5.2e-05,                5.2e-05,                5.2e-05
                     82,                0.57029,                0.95419,                 1.0351,                0.95388,                0.95439,                0.98377,                0.87195,                0.53304,                0.57528,                0.95773,             4.9525e-05,             4.9525e-05,             4.9525e-05
                     83,                0.57147,                 0.9481,                 1.0384,                0.94336,                0.96258,                0.98228,                0.86983,                0.55091,                0.58957,                0.96468,              4.705e-05,              4.705e-05,              4.705e-05
                     84,                0.57149,                0.95653,                 1.0297,                0.94896,                0.95579,                0.98018,                 0.8644,                0.55183,                0.59681,                0.96371,             4.4575e-05,             4.4575e-05,             4.4575e-05
                     85,                0.56508,                0.95079,                 1.0375,                0.94036,                0.97127,                0.98313,                0.86819,                0.54105,                0.58623,                0.96044,               4.21e-05,               4.21e-05,               4.21e-05
                     86,                0.55744,                0.96206,                  1.031,                0.96062,                0.94973,                0.98144,                0.86513,                0.54986,                0.58774,                0.96462,             3.9625e-05,             3.9625e-05,             3.9625e-05
                     87,                0.56677,                0.97297,                 1.0289,                0.96513,                0.95063,                0.98247,                  0.868,                0.54589,                0.57691,                0.96453,              3.715e-05,              3.715e-05,              3.715e-05
                     88,                0.56512,                0.98837,                 1.0322,                 0.9638,                 0.9551,                0.98417,                0.86726,                0.54335,                0.57238,                 0.9642,             3.4675e-05,             3.4675e-05,             3.4675e-05
                     89,                0.55269,                0.93687,                 1.0298,                0.95879,                 0.9604,                0.98542,                 0.8687,                0.54351,                0.56478,                 0.9643,               3.22e-05,               3.22e-05,               3.22e-05
                     90,                0.37155,                0.62524,                0.93772,                0.96653,                0.95176,                0.98331,                0.87209,                0.53992,                0.60401,                0.96144,             2.9725e-05,             2.9725e-05,             2.9725e-05
                     91,                0.37749,                0.56792,                0.93922,                0.94888,                0.96374,                0.98388,                0.86838,                0.54324,                0.60461,                0.97091,              2.725e-05,              2.725e-05,              2.725e-05
                     92,                0.36677,                0.54917,                0.94406,                0.96573,                0.94147,                0.98275,                0.86658,                0.54482,                0.61526,                0.96923,             2.4775e-05,             2.4775e-05,             2.4775e-05
                     93,                0.36478,                0.51896,                0.93357,                0.96107,                0.95067,                0.98495,                0.86928,                0.54577,                0.61533,                0.97066,               2.23e-05,               2.23e-05,               2.23e-05
                     94,                0.36269,                0.51051,                0.93903,                0.96611,                0.95323,                0.98649,                0.87121,                0.54567,                0.60718,                0.96582,             1.9825e-05,             1.9825e-05,             1.9825e-05
                     95,                 0.3592,                 0.5066,                0.93882,                0.96571,                0.95727,                0.98468,                0.87086,                0.54665,                0.60643,                0.96529,              1.735e-05,              1.735e-05,              1.735e-05
                     96,                0.34724,                0.49354,                0.92978,                0.95813,                0.96399,                0.98482,                0.86926,                0.54225,                0.60495,                0.96156,             1.4875e-05,             1.4875e-05,             1.4875e-05
                     97,                0.34334,                0.49818,                0.92494,                0.95415,                0.96433,                0.98469,                0.87116,                0.54212,                0.59774,                0.96215,               1.24e-05,               1.24e-05,               1.24e-05
                     98,                0.35109,                0.49225,                0.92998,                0.97141,                0.94707,                0.98472,                0.87007,                0.54373,                0.59578,                0.96456,              9.925e-06,              9.925e-06,              9.925e-06
                     99,                0.33855,                0.49132,                0.91201,                0.95622,                0.96538,                0.98528,                0.87046,                0.54361,                0.59373,                0.96469,               7.45e-06,               7.45e-06,               7.45e-06
